segment,quantile,val
1,0,267
1,0.01,337.3
1,0.02,339.8
1,0.03,347.3
1,0.04,352.2
1,0.05,353.5
1,0.06,354.8
1,0.07,358.4
1,0.08,362
1,0.09,362
1,0.1,363
1,0.11,364.3
1,0.12,366.8
1,0.13,368
1,0.14,370
1,0.15,371.5
1,0.16,374.6
1,0.17,375
1,0.18,375
1,0.19,375.7
1,0.2,376
1,0.21,377.6
1,0.22,379.6
1,0.23,380
1,0.24,380.2
1,0.25,381.5
1,0.26,383.6
1,0.27,384.2
1,0.28,386.4
1,0.29,387
1,0.3,390
1,0.31,390
1,0.32,390.6
1,0.33,391.9
1,0.34,392
1,0.35,393
1,0.36,394.8
1,0.37,398.2
1,0.38,401.2
1,0.39,403.7
1,0.4,405
1,0.41,406.3
1,0.42,408.8
1,0.43,410.9
1,0.44,411.2
1,0.45,412
1,0.46,412
1,0.47,413.1
1,0.48,414
1,0.49,414.7
1,0.5,415
1,0.51,417.3
1,0.52,418
1,0.53,418
1,0.54,419.2
1,0.55,420
1,0.56,420
1,0.57,420.1
1,0.58,421.4
1,0.59,423.4
1,0.6,425
1,0.61,426.3
1,0.62,427.6
1,0.63,428
1,0.64,429.2
1,0.65,430
1,0.66,432.4
1,0.67,434.1
1,0.68,435
1,0.69,435
1,0.7,435
1,0.71,437.3
1,0.72,438
1,0.73,438.9
1,0.74,440
1,0.75,440
1,0.76,440
1,0.77,440
1,0.78,440.4
1,0.79,443.1
1,0.8,445
1,0.81,446
1,0.82,447.2
1,0.83,448.9
1,0.84,450.2
1,0.85,452
1,0.86,454.6
1,0.87,456.2
1,0.88,458.8
1,0.89,461.4
1,0.9,465
1,0.91,465
1,0.92,466.8
1,0.93,479.7
1,0.94,490.2
1,0.95,494
1,0.96,498.6
1,0.97,508.2
1,0.98,543.6
1,0.99,619.2
1,1,675
2,0,267
2,0.01,337.3
2,0.02,339.8
2,0.03,347.3
2,0.04,352.2
2,0.05,353.5
2,0.06,354.8
2,0.07,358.4
2,0.08,362
2,0.09,362
2,0.1,363
2,0.11,364.3
2,0.12,366.8
2,0.13,368
2,0.14,370
2,0.15,371.5
2,0.16,374.6
2,0.17,375
2,0.18,375
2,0.19,375.7
2,0.2,376
2,0.21,377.6
2,0.22,379.6
2,0.23,380
2,0.24,380.2
2,0.25,381.5
2,0.26,383.6
2,0.27,384.2
2,0.28,386.4
2,0.29,387
2,0.3,390
2,0.31,390
2,0.32,390.6
2,0.33,391.9
2,0.34,392
2,0.35,393
2,0.36,394.8
2,0.37,398.2
2,0.38,401.2
2,0.39,403.7
2,0.4,405
2,0.41,406.3
2,0.42,408.8
2,0.43,410.9
2,0.44,411.2
2,0.45,412
2,0.46,412
2,0.47,413.1
2,0.48,414
2,0.49,414.7
2,0.5,415
2,0.51,417.3
2,0.52,418
2,0.53,418
2,0.54,419.2
2,0.55,420
2,0.56,420
2,0.57,420.1
2,0.58,421.4
2,0.59,423.4
2,0.6,425
2,0.61,426.3
2,0.62,427.6
2,0.63,428
2,0.64,429.2
2,0.65,430
2,0.66,432.4
2,0.67,434.1
2,0.68,435
2,0.69,435
2,0.7,435
2,0.71,437.3
2,0.72,438
2,0.73,438.9
2,0.74,440
2,0.75,440
2,0.76,440
2,0.77,440
2,0.78,440.4
2,0.79,443.1
2,0.8,445
2,0.81,446
2,0.82,447.2
2,0.83,448.9
2,0.84,450.2
2,0.85,452
2,0.86,454.6
2,0.87,456.2
2,0.88,458.8
2,0.89,461.4
2,0.9,465
2,0.91,465
2,0.92,466.8
2,0.93,479.7
2,0.94,490.2
2,0.95,494
2,0.96,498.6
2,0.97,508.2
2,0.98,543.6
2,0.99,619.2
2,1,675
3,0,315
3,0.01,316.96
3,0.02,319.88
3,0.03,331.28
3,0.04,337.52
3,0.05,341.6
3,0.06,349.92
3,0.07,351
3,0.08,351.84
3,0.09,352.82
3,0.1,353.8
3,0.11,354
3,0.12,354.76
3,0.13,356.48
