"","rep","gamma2","gammaTrue","gammahat","ptrue","phat","Strue","Shat"
"1",1,0,0.3,0.324021236984328,0.3,0.308165668180867,0.8,0.804180857480053
"2",2,0.05,0.3,0.0251193594960927,0.3,0.266748340907832,0.8,0.800791213073352
"3",3,0.1,0.3,1.71111096527052e-06,0.3,0.253979485717259,0.8,0.818335868698143
"4",4,0.15,0.3,0.0231739497322714,0.3,0.244964123783882,0.8,0.797711337507277
"5",5,0.2,0.3,8.71867937900705e-07,0.3,0.24640638613062,0.8,0.789237685905407
"6",6,0.25,0.3,0.0267277238891337,0.3,0.222376704493995,0.8,0.798218686722917
"7",7,0.3,0.3,2.25563927584945e-07,0.3,0.205074870349621,0.8,0.811792792117327
"8",8,0.35,0.3,2.65045781621489e-07,0.3,0.205951391793223,0.8,0.794624799448369
"9",9,0.4,0.3,0.0544422684392117,0.3,0.186683464033397,0.8,0.808064949161536
"10",10,0.45,0.3,0.00241249785801774,0.3,0.182939536835739,0.8,0.806201288798
"11",11,0.5,0.3,0.0104283697490325,0.3,0.174197029288431,0.8,0.799713035977494
"12",12,0,0.3,0.309727215334147,0.3,0.291357135079971,0.8,0.817333839442145
"13",13,0.05,0.3,8.88582013018395e-07,0.3,0.272343313517537,0.8,0.808321424689785
"14",14,0.1,0.3,0.0246661202712657,0.3,0.268292606142213,0.8,0.801339760311887
"15",15,0.15,0.3,1.21600723309147e-08,0.3,0.242776460884357,0.8,0.801144069859144
"16",16,0.2,0.3,4.41061091744454e-07,0.3,0.226184908714954,0.8,0.790060129982471
"17",17,0.25,0.3,0.0460640065638188,0.3,0.221970007985737,0.8,0.791000509875932
"18",18,0.3,0.3,4.35195837282232e-05,0.3,0.207782486139626,0.8,0.796246259662975
"19",19,0.35,0.3,8.15197037986156e-08,0.3,0.198412713040563,0.8,0.809441119068422
"20",20,0.4,0.3,0.0326340260239611,0.3,0.204247486036094,0.8,0.789420653277532
"21",21,0.45,0.3,0.0468308815252074,0.3,0.185173527720667,0.8,0.801432665709358
"22",22,0.5,0.3,2.6631892869285e-07,0.3,0.166736138306721,0.8,0.806369489004043
"23",23,0,0.3,0.324773932857546,0.3,0.311876832972092,0.8,0.790563600744923
"24",24,0.05,0.3,0.01201725024348,0.3,0.273684621322845,0.8,0.79229414534807
"25",25,0.1,0.3,1.18349434820608e-06,0.3,0.254297383496369,0.8,0.797122415948266
