"","q_bin","qsd_bin","estimator","gear","1","2","3"
"1",1,1,"Mt_AM","GN14",49,14,0
"2",1,1,"Mt_AM","OT16",59,0,0
"3",1,1,"Mt_AM","TLC1",44,23,0
"4",1,1,"Mt_AM","TN",65,0,0
"5",1,2,"Mt_AM","GN14",37,16,5
"6",1,2,"Mt_AM","OT16",65,0,0
"7",1,2,"Mt_AM","TLC1",46,17,6
"8",1,2,"Mt_AM","TN",68,0,0
"9",1,3,"Mt_AM","GN14",25,16,29
"10",1,3,"Mt_AM","OT16",59,0,0
"11",1,3,"Mt_AM","TLC1",18,16,20
"12",1,3,"Mt_AM","TN",60,0,0
"13",2,1,"Mt_AM","GN14",0,4,54
"14",2,1,"Mt_AM","OT16",66,0,0
"15",2,1,"Mt_AM","TLC1",0,5,65
"16",2,1,"Mt_AM","TN",62,0,0
"17",2,2,"Mt_AM","GN14",0,0,73
"18",2,2,"Mt_AM","OT16",66,0,0
"19",2,2,"Mt_AM","TLC1",0,0,73
"20",2,2,"Mt_AM","TN",71,0,0
"21",2,3,"Mt_AM","GN14",0,0,66
"22",2,3,"Mt_AM","OT16",74,0,0
"23",2,3,"Mt_AM","TLC1",0,0,73
"24",2,3,"Mt_AM","TN",62,0,0
"25",3,1,"Mt_AM","GN14",0,0,77
"26",3,1,"Mt_AM","OT16",62,0,0
"27",3,1,"Mt_AM","TLC1",0,0,64
"28",3,1,"Mt_AM","TN",69,0,0
"29",3,2,"Mt_AM","GN14",0,0,70
"30",3,2,"Mt_AM","OT16",81,0,0
"31",3,2,"Mt_AM","TLC1",0,0,64
"32",3,2,"Mt_AM","TN",67,0,0
"33",3,3,"Mt_AM","GN14",0,22,47
"34",3,3,"Mt_AM","OT16",72,0,0
"35",3,3,"Mt_AM","TLC1",0,26,44
"36",3,3,"Mt_AM","TN",80,0,0
