"","recruitmentLevel_bin","p_bin","prop","nocc_bin","0","1"
"1","1-30","0-0.02",0.05,"2-3",0.947368421052632,0.0526315789473684
"2","1-30","0-0.02",0.05,"3-4",0.954545454545455,0.0454545454545455
"3","1-30","0-0.02",0.05,"4-5",0.962962962962963,0.037037037037037
"4","1-30","0-0.02",0.05,"5-10",0.936,0.064
"5","1-30","0-0.02",0.05,"10-20",0.889380530973451,0.110619469026549
"6","1-30","0-0.02",0.05,"20-30",0.869767441860465,0.130232558139535
"7","1-30","0-0.02",0.05,"30-40",0.794238683127572,0.205761316872428
"8","1-30","0-0.02",0.05,"40-50",0.765690376569038,0.234309623430962
"9","1-30","0-0.02",0.1,"2-3",1,0
"10","1-30","0-0.02",0.1,"3-4",0.92,0.08
"11","1-30","0-0.02",0.1,"4-5",0.85,0.15
"12","1-30","0-0.02",0.1,"5-10",0.927536231884058,0.072463768115942
"13","1-30","0-0.02",0.1,"10-20",0.83587786259542,0.16412213740458
"14","1-30","0-0.02",0.1,"20-30",0.718875502008032,0.281124497991968
"15","1-30","0-0.02",0.1,"30-40",0.685446009389671,0.314553990610329
"16","1-30","0-0.02",0.1,"40-50",0.609561752988048,0.390438247011952
"17","1-30","0-0.02",0.15,"2-3",0.948717948717949,0.0512820512820513
"18","1-30","0-0.02",0.15,"3-4",0.935483870967742,0.0645161290322581
"19","1-30","0-0.02",0.15,"4-5",0.875,0.125
"20","1-30","0-0.02",0.15,"5-10",0.848484848484849,0.151515151515152
"21","1-30","0-0.02",0.15,"10-20",0.755813953488372,0.244186046511628
"22","1-30","0-0.02",0.15,"20-30",0.566801619433198,0.433198380566802
"23","1-30","0-0.02",0.15,"30-40",0.508547008547009,0.491452991452991
"24","1-30","0-0.02",0.15,"40-50",0.579766536964981,0.420233463035019
"25","1-30","0-0.02",0.2,"2-3",0.94,0.06
"26","1-30","0-0.02",0.2,"3-4",0.904761904761905,0.0952380952380952
"27","1-30","0-0.02",0.2,"4-5",0.80952380952381,0.19047619047619
"28","1-30","0-0.02",0.2,"5-10",0.783783783783784,0.216216216216216
"29","1-30","0-0.02",0.2,"10-20",0.683206106870229,0.316793893129771
"30","1-30","0-0.02",0.2,"20-30",0.558823529411765,0.441176470588235
"31","1-30","0-0.02",0.2,"30-40",0.412244897959184,0.587755102040816
"32","1-30","0-0.02",0.2,"40-50",0.429245283018868,0.570754716981132
"33","1-30","0-0.02",0.25,"2-3",0.936170212765957,0.0638297872340425
"34","1-30","0-0.02",0.25,"3-4",0.966666666666667,0.0333333333333333
"35","1-30","0-0.02",0.25,"4-5",0.814814814814815,0.185185185185185
"36","1-30","0-0.02",0.25,"5-10",0.781021897810219,0.218978102189781
"37","1-30","0-0.02",0.25,"10-20",0.616,0.384
