"","q_bin","qsd_bin","estimator","gear","1","2","3"
"1",1,1,"CPUE_AM","GN14",0,8,55
"2",1,1,"CPUE_AM","OT16",0,59,0
"3",1,1,"CPUE_AM","TLC1",0,5,62
"4",1,1,"CPUE_AM","TN",0,64,1
"5",1,1,"Mt_AM","GN14",13,0,50
"6",1,1,"Mt_AM","OT16",56,3,0
"7",1,1,"Mt_AM","TLC1",7,2,58
"8",1,1,"Mt_AM","TN",59,4,2
"9",1,2,"CPUE_AM","GN14",0,5,53
"10",1,2,"CPUE_AM","OT16",0,65,0
"11",1,2,"CPUE_AM","TLC1",0,7,62
"12",1,2,"CPUE_AM","TN",0,61,7
"13",1,2,"Mt_AM","GN14",6,1,51
"14",1,2,"Mt_AM","OT16",60,5,0
"15",1,2,"Mt_AM","TLC1",14,3,52
"16",1,2,"Mt_AM","TN",59,8,1
"17",1,3,"CPUE_AM","GN14",0,1,69
"18",1,3,"CPUE_AM","OT16",0,49,10
"19",1,3,"CPUE_AM","TLC1",0,4,50
"20",1,3,"CPUE_AM","TN",0,30,30
"21",1,3,"Mt_AM","GN14",1,0,69
"22",1,3,"Mt_AM","OT16",46,8,5
"23",1,3,"Mt_AM","TLC1",5,0,49
"24",1,3,"Mt_AM","TN",30,6,24
"25",2,1,"CPUE_AM","GN14",0,0,58
"26",2,1,"CPUE_AM","OT16",0,51,15
"27",2,1,"CPUE_AM","TLC1",0,0,70
"28",2,1,"CPUE_AM","TN",0,14,48
"29",2,1,"Mt_AM","GN14",0,0,58
"30",2,1,"Mt_AM","OT16",57,5,4
"31",2,1,"Mt_AM","TLC1",0,0,70
"32",2,1,"Mt_AM","TN",42,12,8
"33",2,2,"CPUE_AM","GN14",0,0,73
"34",2,2,"CPUE_AM","OT16",0,31,35
"35",2,2,"CPUE_AM","TLC1",0,0,73
"36",2,2,"CPUE_AM","TN",0,3,68
"37",2,2,"Mt_AM","GN14",0,0,73
"38",2,2,"Mt_AM","OT16",47,9,10
"39",2,2,"Mt_AM","TLC1",0,0,73
"40",2,2,"Mt_AM","TN",22,18,31
"41",2,3,"CPUE_AM","GN14",0,0,66
"42",2,3,"CPUE_AM","OT16",0,5,69
"43",2,3,"CPUE_AM","TLC1",0,0,73
"44",2,3,"CPUE_AM","TN",0,0,62
"45",2,3,"Mt_AM","GN14",0,0,66
"46",2,3,"Mt_AM","OT16",8,12,54
"47",2,3,"Mt_AM","TLC1",0,0,73
"48",2,3,"Mt_AM","TN",1,0,61
"49",3,1,"CPUE_AM","GN14",0,0,77
"50",3,1,"CPUE_AM","OT16",0,4,58
"51",3,1,"CPUE_AM","TLC1",0,0,64
"52",3,1,"CPUE_AM","TN",0,0,69
"53",3,1,"Mt_AM","GN14",0,0,77
"54",3,1,"Mt_AM","OT16",39,9,14
"55",3,1,"Mt_AM","TLC1",0,0,64
"56",3,1,"Mt_AM","TN",8,18,43
"57",3,2,"CPUE_AM","GN14",0,0,70
"58",3,2,"CPUE_AM","OT16",0,3,78
"59",3,2,"CPUE_AM","TLC1",0,0,64
"60",3,2,"CPUE_AM","TN",0,0,67
"61",3,2,"Mt_AM","GN14",0,0,70
"62",3,2,"Mt_AM","OT16",27,18,36
"63",3,2,"Mt_AM","TLC1",0,0,64
"64",3,2,"Mt_AM","TN",2,7,58
"65",3,3,"CPUE_AM","GN14",0,0,69
"66",3,3,"CPUE_AM","OT16",0,0,72
"67",3,3,"CPUE_AM","TLC1",0,0,70
"68",3,3,"CPUE_AM","TN",0,0,80
"69",3,3,"Mt_AM","GN14",0,0,69
"70",3,3,"Mt_AM","OT16",0,1,71
"71",3,3,"Mt_AM","TLC1",0,0,70
"72",3,3,"Mt_AM","TN",0,0,80
