"","q_bin","qsd_bin","estimator","gear","1","2","3"
"1",1,1,"CPUE","GN14",0,0,63
"2",1,1,"CPUE","OT16",0,0,59
"3",1,1,"CPUE","TLC1",0,0,67
"4",1,1,"CPUE","TN",0,0,65
"5",1,1,"Mt_AM","GN14",21,0,42
"6",1,1,"Mt_AM","OT16",59,0,0
"7",1,1,"Mt_AM","TLC1",17,0,50
"8",1,1,"Mt_AM","TN",65,0,0
"9",1,2,"CPUE","GN14",0,0,58
"10",1,2,"CPUE","OT16",0,0,65
"11",1,2,"CPUE","TLC1",0,0,69
"12",1,2,"CPUE","TN",0,0,68
"13",1,2,"Mt_AM","GN14",11,0,47
"14",1,2,"Mt_AM","OT16",65,0,0
"15",1,2,"Mt_AM","TLC1",20,0,49
"16",1,2,"Mt_AM","TN",68,0,0
"17",1,3,"CPUE","GN14",0,0,70
"18",1,3,"CPUE","OT16",0,0,59
"19",1,3,"CPUE","TLC1",0,0,54
"20",1,3,"CPUE","TN",0,0,60
"21",1,3,"Mt_AM","GN14",6,0,64
"22",1,3,"Mt_AM","OT16",59,0,0
"23",1,3,"Mt_AM","TLC1",8,0,46
"24",1,3,"Mt_AM","TN",48,0,12
"25",2,1,"CPUE","GN14",0,0,58
"26",2,1,"CPUE","OT16",0,0,66
"27",2,1,"CPUE","TLC1",0,0,70
"28",2,1,"CPUE","TN",0,0,62
"29",2,1,"Mt_AM","GN14",0,0,58
"30",2,1,"Mt_AM","OT16",66,0,0
"31",2,1,"Mt_AM","TLC1",0,0,70
"32",2,1,"Mt_AM","TN",62,0,0
"33",2,2,"CPUE","GN14",0,0,73
"34",2,2,"CPUE","OT16",0,0,66
"35",2,2,"CPUE","TLC1",0,0,73
"36",2,2,"CPUE","TN",0,0,71
"37",2,2,"Mt_AM","GN14",0,0,73
"38",2,2,"Mt_AM","OT16",66,0,0
"39",2,2,"Mt_AM","TLC1",0,0,73
"40",2,2,"Mt_AM","TN",63,0,8
"41",2,3,"CPUE","GN14",0,0,66
"42",2,3,"CPUE","OT16",0,0,74
"43",2,3,"CPUE","TLC1",0,0,73
"44",2,3,"CPUE","TN",0,0,62
"45",2,3,"Mt_AM","GN14",0,0,66
"46",2,3,"Mt_AM","OT16",49,1,24
"47",2,3,"Mt_AM","TLC1",0,0,73
"48",2,3,"Mt_AM","TN",8,0,54
"49",3,1,"CPUE","GN14",0,0,77
"50",3,1,"CPUE","OT16",0,0,62
"51",3,1,"CPUE","TLC1",0,0,64
"52",3,1,"CPUE","TN",0,0,69
"53",3,1,"Mt_AM","GN14",0,0,77
"54",3,1,"Mt_AM","OT16",62,0,0
"55",3,1,"Mt_AM","TLC1",0,0,64
"56",3,1,"Mt_AM","TN",56,0,13
"57",3,2,"CPUE","GN14",0,0,70
"58",3,2,"CPUE","OT16",0,0,81
"59",3,2,"CPUE","TLC1",0,0,64
"60",3,2,"CPUE","TN",0,0,67
"61",3,2,"Mt_AM","GN14",0,0,70
"62",3,2,"Mt_AM","OT16",77,0,4
"63",3,2,"Mt_AM","TLC1",0,0,64
"64",3,2,"Mt_AM","TN",17,0,50
"65",3,3,"CPUE","GN14",0,0,69
"66",3,3,"CPUE","OT16",0,0,72
"67",3,3,"CPUE","TLC1",0,0,70
"68",3,3,"CPUE","TN",0,0,80
"69",3,3,"Mt_AM","GN14",0,0,69
"70",3,3,"Mt_AM","OT16",5,0,67
"71",3,3,"Mt_AM","TLC1",0,0,70
"72",3,3,"Mt_AM","TN",0,0,80
