"","gamma_prime","n_unobservable","reps","gamma_dblprime","Nhat","p","fit"
"4",0.85,10,1,0.15,93.9919423001087,0.184412971039474,0
"6",0.75,10,1,0.25,66.8302513642096,0.244400297768207,0
"7",0.7,10,1,0.3,86.4838418805661,0.181151372662099,0
"8",0.65,10,1,0.35,80.3667185820148,0.232268618231857,0
"9",1,30,1,0,109.551238817478,0.170392109381069,0
"10",0.95,30,1,0.05,106.156111681293,0.200961894839652,0
"14",0.75,30,1,0.25,101.957835674201,0.19615951895947,0
"17",1,75,1,0,78.7564045235579,0.224320381010155,0
"18",0.95,75,1,0.05,79.2414635160688,0.24398001350392,0
"20",0.85,75,1,0.15,109.131802292607,0.189373457020951,0
"21",0.8,75,1,0.2,124.884338337977,0.168155593243143,0
"22",0.75,75,1,0.25,80.6048318712904,0.210905470663601,0
"24",0.65,75,1,0.35,120.827934086813,0.171042125518368,0
"25",1,10,2,0,91.6510741319067,0.207307990440513,0
"26",0.95,10,2,0.05,91.1117467247625,0.226827686011335,0
"27",0.9,10,2,0.1,93.9919422643863,0.184412971142678,0
"28",0.85,10,2,0.15,99.3757697162733,0.207964846236942,0
"31",0.7,10,2,0.3,79.0373325131879,0.18978373286443,0
"33",1,30,2,0,79.2414635481524,0.243980013337148,0
"34",0.95,30,2,0.05,98.2782454710072,0.169586530434993,0
"39",0.7,30,2,0.3,97.8887535853381,0.190692658584046,0
"41",1,75,2,0,120.382926378641,0.188288051707465,0
"42",0.95,75,2,0.05,86.6564716420051,0.192330317128899,0
"43",0.9,75,2,0.1,90.3320209736161,0.177124344477413,0
"44",0.85,75,2,0.15,69.7210106386831,0.239047978708151,0
"45",0.8,75,2,0.2,80.6048319013772,0.210905470540529,0
"48",0.65,75,2,0.35,105.550363167013,0.173692754661247,0
"51",0.9,10,3,0.1,72.873745071486,0.210409569568523,0
"54",0.75,10,3,0.25,116.838164044621,0.174029894255606,0
"55",0.7,10,3,0.3,94.2987424388304,0.194417580332272,0
"57",1,30,3,0,71.6112294334114,0.246702462895071,0
"58",0.95,30,3,0.05,88.806600117072,0.247729335113283,0
"60",0.85,30,3,0.15,90.7753482498959,0.198291720682224,0
"64",0.65,30,3,0.35,168.300755664219,0.13666011129893,0
"65",1,75,3,0,97.7707175330961,0.180694865650215,0
"66",0.95,75,3,0.05,105.087135036619,0.21886599146517,0
"68",0.85,75,3,0.15,82.3478449985271,0.275255128629884,0
"69",0.8,75,3,0.2,128.713909492267,0.147614193953594,0
"70",0.75,75,3,0.25,90.3320209630106,0.177124344507541,0
"73",1,10,4,0,94.2634877624744,0.173273169931929,0
"74",0.95,10,4,0.05,94.2073515338221,0.222912539818758,0
"78",0.75,10,4,0.25,124.116046841706,0.150396883736344,0
"80",0.65,10,4,0.35,57.3103157613059,0.238467830544186,0
"81",1,30,4,0,107.102017886848,0.208523926756992,0
"82",0.95,30,4,0.05,76.4019038663702,0.24868490231908,0
"83",0.9,30,4,0.1,74.1575009922631,0.220251938450527,0
"84",0.85,30,4,0.15,93.99194225863,0.184412971159308,0
"86",0.75,30,4,0.25,83.9283968611174,0.206525252264159,0
"87",0.7,30,4,0.3,105.550363175371,0.173692754641472,0
"89",1,75,4,0,87.3185676228331,0.202324283920174,0
"90",0.95,75,4,0.05,84.0196434946169,0.245974224682242,0
"91",0.9,75,4,0.1,98.8300695124463,0.225977108440843,0
"92",0.85,75,4,0.15,97.8887535853382,0.190692658584046,0
"93",0.8,75,4,0.2,113.626152871739,0.167215025068503,0
"95",0.7,75,4,0.3,116.02180241106,0.215476742133618,0
"98",0.95,10,5,0.05,112.809631434136,0.186154317969391,0
"99",0.9,10,5,0.1,92.8174419288837,0.215476742133487,0
"100",0.85,10,5,0.15,72.672285022775,0.233926867645242,0
"101",0.8,10,5,0.2,102.738187511445,0.204403060913068,0
"102",0.75,10,5,0.25,78.7564045457341,0.22432038090831,0
"106",0.95,30,5,0.05,106.156111859737,0.200961894323342,0
"109",0.8,30,5,0.2,77.8647000564423,0.265417662341006,0
"115",0.9,75,5,0.1,119.601490844519,0.153286829485818,0
"116",0.85,75,5,0.15,120.816419545498,0.195889488826925,0
"117",0.8,75,5,0.2,98.2782454471235,0.169586530493715,0
"118",0.75,75,5,0.25,179.274696051066,0.124576049076011,0
"119",0.7,75,5,0.3,115.17023979833,0.156290375288617,0
"121",1,10,6,0,154.671688464146,0.172408195264825,0
"122",0.95,10,6,0.05,88.8066000592617,0.247729335387999,0
"123",0.9,10,6,0.1,117.775107486549,0.164154665157418,0
"127",0.7,10,6,0.3,63.3549001776219,0.263068312316745,0
"128",0.65,10,6,0.35,101.623523593969,0.177124344485127,0
"129",1,30,6,0,87.3185676279781,0.202324283901883,0
"130",0.95,30,6,0.05,105.550363175392,0.173692754641422,0
"131",0.9,30,6,0.1,97.7707175631383,0.180694865569134,0
"132",0.85,30,6,0.15,55.5974452600179,0.227828214181917,0
"133",0.8,30,6,0.2,91.1117467845471,0.226827685769953,0
"135",0.7,30,6,0.3,133.395080385615,0.144932881163579,0
"136",0.65,30,6,0.35,106.557644990805,0.162666257637719,0
"137",1,75,6,0,118.172080557872,0.205914402272175,0
"138",0.95,75,6,0.05,117.775107486539,0.164154665157438,0
"141",0.8,75,6,0.2,115.170239744255,0.156290375390165,0
"142",0.75,75,6,0.25,178.44993332557,0.132623566877374,0
"143",0.7,75,6,0.3,89.6215252949203,0.21944132954611,0
"144",0.65,75,6,0.35,109.058518539334,0.180331320602714,0
"146",0.95,10,7,0.05,91.6510741275596,0.207307990455759,0
"147",0.9,10,7,0.1,74.4742549549377,0.241694260808811,0
"148",0.85,10,7,0.15,94.263487763921,0.173273169928104,0
"150",0.75,10,7,0.25,82.9779344061664,0.172736685214036,0
"152",0.65,10,7,0.35,117.775107486421,0.164154665157669,0
"153",1,30,7,0,75.2401104472357,0.270245926184893,0
"154",0.95,30,7,0.05,102.37629696551,0.166054062377897,0
"156",0.85,30,7,0.15,120.827934107408,0.17104212547652,0
"161",1,75,7,0,125.892595298774,0.206525252246136,0
"162",0.95,75,7,0.05,101.623523599131,0.177124344467785,0
"163",0.9,75,7,0.1,89.801162924138,0.23756188270474,0
"164",0.85,75,7,0.15,101.934820603704,0.222364316152746,0
"165",0.8,75,7,0.2,113.626152876189,0.167215025059222,0
"169",1,10,8,0,84.9254839639195,0.270825657111307,0
"170",0.95,10,8,0.05,70.4300620303448,0.317099441481562,0
"171",0.9,10,8,0.1,80.3667185462631,0.232268618401956,0
"172",0.85,10,8,0.15,94.2987424388322,0.194417580332266,0
"173",0.8,10,8,0.2,98.2782454710067,0.169586530434994,0
"178",0.95,30,8,0.05,76.4019038663701,0.24868490231908,0
"179",0.9,30,8,0.1,95.0261067827761,0.203452861441335,0
"181",0.8,30,8,0.2,88.3365914727049,0.211312960523663,0
"182",0.75,30,8,0.25,105.514537903717,0.192706462428846,0
"184",0.65,30,8,0.35,93.9919423000964,0.18441297103951,0
"185",1,75,8,0,101.957835674187,0.196159518959511,0
"186",0.95,75,8,0.05,73.6135380693971,0.253576545241894,0
"187",0.9,75,8,0.1,105.268638861468,0.183657103842944,0
"188",0.85,75,8,0.15,105.514537793303,0.192706462748521,0
"189",0.8,75,8,0.2,71.4512394531229,0.186607446362245,0
"191",0.7,75,8,0.3,106.557644989768,0.162666257639941,0
"194",0.95,10,9,0.05,113.158490926657,0.194417580332198,0
"195",0.9,10,9,0.1,77.8647000433153,0.265417662370384,0
"196",0.85,10,9,0.15,85.0741865866847,0.235088935932662,0
"197",0.8,10,9,0.2,115.170239801015,0.156290375283575,0
"198",0.75,10,9,0.25,94.2987424315101,0.194417580355001,0
"200",0.65,10,9,0.35,79.6170838924456,0.200961894363854,0
"201",1,30,9,0,70.0166307479036,0.290407194921218,0
"202",0.95,30,9,0.05,126.295146066347,0.158359213500674,0
"203",0.9,30,9,0.1,90.2871947840649,0.188288051707204,0
"206",0.75,30,9,0.25,102.738187499719,0.204403060949053,0
"210",0.95,75,9,0.05,63.3137355308049,0.226385842079394,0
"211",0.9,75,9,0.1,102.738187511445,0.204403060913068,0
"214",0.75,75,9,0.25,87.0105406157828,0.168561953102108,0
"215",0.7,75,9,0.3,113.626152849833,0.167215025114194,0
"217",1,10,10,0,158.050605404767,0.132868836194705,0
"218",0.95,10,10,0.05,109.551238827726,0.170392109358318,0
"219",0.9,10,10,0.1,94.2073515338434,0.222912539818677,0
"220",0.85,10,10,0.15,74.1575010717568,0.22025193807314,0
"221",0.8,10,10,0.2,112.915026205613,0.177124344503341,0
"225",1,30,10,0,121.998104575383,0.161204690328205,0
"226",0.95,30,10,0.05,105.268638924636,0.183657103680941,0
"227",0.9,30,10,0.1,119.601490843896,0.153286829486916,0
"228",0.85,30,10,0.15,124.884338337968,0.168155593243162,0
"230",0.75,30,10,0.25,121.998104606818,0.161204690270104,0
"232",0.65,30,10,0.35,109.05851858937,0.18033132048199,0
