"","rep","gamma2","gammaTrue","gammahat","ptrue","phat","Strue","Shat"
"1",1,0,0.05,0.0291491075256251,0.3,0.306891135771344,0.8,0.774877769713775
"2",2,0,0.05,0.0274913756746235,0.3,0.289803641025973,0.8,0.779142558712842
"3",3,0,0.05,0.0150966789885338,0.3,0.295037987322343,0.8,0.768885961125923
"4",4,0,0.05,0.0189947981881665,0.3,0.304120459518051,0.8,0.765204734313695
"5",5,0,0.05,0.00365042163841033,0.3,0.301322193183449,0.8,0.758185046166561
"6",6,0,0.05,0.0297457928847912,0.3,0.297142154740566,0.8,0.754041966667601
"7",7,0,0.05,0.0310450964515398,0.3,0.297873100007468,0.8,0.771124367360356
"8",8,0,0.05,1.06504019949561e-07,0.3,0.293853495688529,0.8,0.771334818429679
"9",9,0,0.05,0.0263319654777946,0.3,0.303614686424174,0.8,0.77623951334683
"10",10,0,0.05,2.07776634308617e-07,0.3,0.302483782469994,0.8,0.759752558340055
