"basin" "gear" "gear_id" "observations" "mean_effort" "sd_effort" "min_effort" "max_effort" "median_effort" "gamma_shape" "gamma_rate"
"1" "LB" "GN14" 18 1523 1326 89 1002 1633 1333 224.493086329894 0.169240429965802
"2" "LB" "GN18" 21 4698 1221 123 750 1695 1221 98.5406642388479 0.0807099454944222
"3" "LB" "GN41" 18 1118 1327 91 969 1563 1340 210.667976371496 0.158765074923643
"4" "LB" "GN81" 21 4094 1219 117 750 1678 1222 109.46089887084 0.0897863274878778
"5" "LB" "MF" 41 7411 1278 126 729 2106 1288 103.412036734945 0.0808979305205958
"6" "LB" "OT16" 52 606 3 7 1 178 2 1.98663546983977 0.714905683552471
"7" "LB" "TLC1" 87 2164 1336 60 1067 1542 1341 500.663839137158 0.374626321956219
"8" "LB" "TLC2" 87 5219 1206 109 859 1591 1210 122.773068980012 0.101799576556095
"10" "LB" "TLC4" 87 24 1273 119 956 1466 1262 114.454203278203 0.0898943257125629
"15" "LB" "TLS1" 87 32 1067 21 1015 1101 1063 2598.00176955097 2.43386780917227
"16" "LB" "TLS2" 87 381 1147 103 838 1419 1145 123.165494888757 0.107355605073377
"18" "LB" "TN" 65 1072 4 3 1 69 3 2.56869937457055 0.676571425227075
"19" "UB" "GN14" 18 700 1130 183 310 1751 1151 29.7357581230431 0.0263067553857622
"20" "UB" "GN41" 18 716 1134 183 295 1762 1138 30.6342655630498 0.0270084261833166
"21" "UB" "MF" 41 4281 1182 142 698 1708 1180 69.1684219114685 0.0584989939168661
"22" "UB" "OT16" 52 9081 4 7 1 511 4 6.78797745113295 1.67068620500265
"23" "UB" "TLC1" 87 3616 1120 139 755 1615 1119 65.3274014450771 0.0583306004787123
"24" "UB" "TLC2" 87 80 1025 150 694 1416 994 49.9332632543561 0.0486957859517802
"25" "UB" "TLO1" 87 20 999 85 824 1100 1029 136.674722522305 0.136777345182315
"26" "UB" "TN" 65 10915 7 7 1 610 6 5.12828737069857 0.773461932224828
