"","GN14.1","GN14.2","GN14.3","GN14.4","GN14.5","GN14.6","GN14.7","GN14.8","GN14.9","GN14.10","GN18.1","GN18.2","GN18.3","GN18.4","GN18.5","GN18.6","GN18.7","GN18.8","GN18.9","GN18.10","GN41.1","GN41.2","GN41.3","GN41.4","GN41.5","GN41.6","GN41.7","GN41.8","GN41.9","GN41.10","GN81.1","GN81.2","GN81.3","GN81.4","GN81.5","GN81.6","GN81.7","GN81.8","GN81.9","GN81.10","MF.1","MF.2","MF.3","MF.4","MF.5","MF.6","MF.7","MF.8","MF.9","MF.10","OT16.1","OT16.2","OT16.3","OT16.4","OT16.5","OT16.6","OT16.7","OT16.8","OT16.9","OT16.10","TLC1.1","TLC1.2","TLC1.3","TLC1.4","TLC1.5","TLC1.6","TLC1.7","TLC1.8","TLC1.9","TLC1.10","TLC2.1","TLC2.2","TLC2.3","TLC2.4","TLC2.5","TLC2.6","TLC2.7","TLC2.8","TLC2.9","TLC2.10","TN.1","TN.2","TN.3","TN.4","TN.5","TN.6","TN.7","TN.8","TN.9","TN.10"
"1",17,12,25,16,13,14,13,16,9,12,0,0,0,0,0,0,0,0,0,0,16,19,17,12,17,16,13,14,11,11,0,0,0,0,0,0,0,0,0,0,25,19,18,18,17,17,14,17,10,13,2,2,0,2,0,1,2,0,0,1,28,14,15,15,11,18,10,12,12,10,18,22,19,12,13,13,14,14,12,13,0,2,4,3,2,0,0,0,0,1
"2",3,4,2,5,5,2,3,4,2,1,0,0,0,0,0,0,0,0,0,0,4,2,4,5,4,2,3,4,1,4,0,0,0,0,0,0,0,0,0,0,2,6,7,1,6,4,2,1,4,2,0,0,0,0,0,0,0,0,0,0,5,1,5,3,3,5,3,3,1,2,1,0,2,5,1,6,2,8,2,4,0,0,0,1,0,0,0,0,0,0
"3",5,6,2,4,5,3,6,3,2,0,0,0,0,0,0,0,0,0,0,0,2,3,4,3,3,1,3,5,2,2,0,0,0,0,0,0,0,0,0,0,1,3,2,2,4,1,4,4,2,3,0,0,0,0,0,1,0,0,0,1,4,4,2,5,1,2,4,3,0,3,5,4,3,2,1,4,4,2,0,0,0,1,0,1,0,0,1,0,0,0
"4",5,7,2,5,7,3,3,2,5,1,0,0,0,0,0,0,0,0,0,0,5,7,4,5,5,6,1,4,1,1,0,0,0,0,0,0,0,0,0,0,4,3,3,5,3,4,4,4,2,6,0,0,0,0,1,0,0,0,0,0,9,6,2,2,4,7,3,6,5,1,6,6,4,2,5,2,5,3,4,4,0,1,0,0,0,0,1,2,0,0
"5",5,4,8,5,4,8,6,5,2,9,0,0,0,0,0,0,0,0,0,0,5,5,5,4,4,7,5,4,4,4,0,0,0,0,0,0,0,0,0,0,7,11,5,6,3,3,6,5,3,6,0,0,0,0,0,1,0,0,1,0,7,9,6,8,5,5,5,5,5,6,5,6,4,8,8,4,3,7,0,5,0,1,0,0,0,0,0,1,1,0
"6",6,5,7,2,3,3,8,7,7,5,0,0,0,0,0,0,0,0,0,0,6,7,5,2,4,3,3,5,4,5,0,0,0,0,0,0,0,0,0,0,6,6,3,2,9,7,6,4,5,3,0,0,0,0,0,1,1,1,0,0,6,9,6,3,3,8,6,4,4,4,9,6,5,6,5,5,2,4,4,2,2,0,0,0,2,0,1,1,0,0
"7",9,5,8,4,5,8,3,4,8,4,0,0,0,0,0,0,0,0,0,0,7,5,8,6,5,7,5,5,4,6,0,0,0,0,0,0,0,0,0,0,10,6,7,9,3,5,8,6,7,8,1,1,0,0,0,0,0,0,0,0,10,8,7,7,5,6,6,10,3,9,10,7,5,10,6,3,7,5,5,4,0,0,0,2,2,0,0,0,0,0
"8",8,4,4,5,5,5,7,5,4,6,0,0,0,0,0,0,0,0,0,0,5,4,2,4,4,3,1,3,2,4,0,0,0,0,0,0,0,0,0,0,2,6,6,4,6,6,5,5,6,1,0,1,0,0,0,0,0,1,0,0,5,3,4,7,2,7,4,3,4,4,6,6,4,7,6,5,5,1,2,2,1,0,1,0,0,0,0,2,0,0
"9",9,3,4,6,7,10,6,4,5,8,0,0,0,0,0,0,0,0,0,0,3,5,4,4,9,8,5,3,3,4,0,0,0,0,0,0,0,0,0,0,5,6,8,6,4,5,4,3,5,4,2,0,2,0,0,0,0,0,0,0,9,6,9,2,6,6,7,2,6,6,8,8,7,6,3,4,5,8,5,6,0,0,0,1,0,0,0,0,2,0
"10",6,11,10,14,13,9,10,8,6,14,0,0,0,0,0,0,0,0,0,0,8,9,10,9,15,12,10,6,8,6,0,0,0,0,0,0,0,0,0,0,7,14,12,10,15,8,10,9,9,4,1,0,0,0,1,3,0,1,2,0,10,6,17,8,8,9,11,9,10,12,9,9,11,14,7,12,10,15,5,10,2,0,0,0,1,1,2,0,3,1
"11",6,3,7,7,5,5,6,10,3,5,0,0,0,0,0,0,0,0,0,0,11,6,7,9,12,7,6,3,4,7,0,0,0,0,0,0,0,0,0,0,15,10,9,10,2,5,7,8,4,2,1,1,0,0,0,0,0,0,0,0,13,10,6,7,3,8,5,4,4,4,11,7,9,8,3,4,5,4,2,5,1,1,1,0,0,1,1,0,0,0
"12",4,5,2,5,5,5,1,3,3,1,0,0,0,0,0,0,0,0,0,0,5,2,1,5,2,1,6,3,3,0,0,0,0,0,0,0,0,0,0,0,3,5,3,4,3,1,2,5,2,5,0,0,1,1,0,0,0,1,0,0,6,6,5,2,7,4,2,4,4,5,4,5,4,7,4,4,2,1,5,1,1,1,1,0,0,0,1,0,1,0
