"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,0,0,0,0,0,0,0,0,0
"2",1,1,1,0,0,1,0,0,0,0
"3",0,0,1,0,0,0,1,0,1,0
"4",0,1,1,0,0,0,0,1,0,0
"5",0,0,0,1,0,1,0,0,0,0
"6",1,0,0,0,0,0,0,0,1,0
"7",0,0,0,0,0,0,0,0,0,0
"8",1,1,1,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,1,0,1,1
"10",0,0,0,0,1,0,1,1,0,1
"11",0,0,0,1,0,1,0,0,1,0
"12",1,0,0,1,1,1,0,0,0,1
"13",0,1,0,0,0,0,0,0,0,0
"14",1,0,1,0,1,0,1,0,0,1
"15",0,1,1,0,0,0,1,1,0,0
"16",0,0,0,0,0,0,0,0,1,1
"17",0,1,0,1,1,1,1,0,0,0
"18",1,0,1,1,0,0,0,0,0,0
"19",0,1,1,0,1,1,0,0,0,1
"20",1,1,1,0,1,0,0,0,0,0
"21",1,0,0,0,0,0,0,0,1,0
"22",1,1,0,0,0,1,0,0,0,0
"23",0,0,0,0,1,0,0,0,0,0
"24",0,0,0,1,0,0,0,1,1,0
"25",1,0,0,0,0,0,1,0,0,1
"26",0,0,0,1,1,0,0,1,0,0
"27",0,1,0,1,1,0,1,0,0,0
"28",1,0,0,1,0,1,0,0,0,1
"29",0,0,0,0,0,1,1,1,0,0
"30",0,0,1,0,1,0,0,1,1,1
"31",0,1,0,0,0,0,0,0,1,0
"32",0,0,1,1,1,0,0,0,0,1
"33",0,0,0,1,0,1,1,0,0,1
"34",0,0,0,0,0,0,0,0,0,0
"35",0,0,0,1,0,1,1,1,0,0
"36",0,0,0,0,0,0,0,1,0,0
"37",0,0,0,0,0,0,0,1,1,0
"38",0,0,1,0,0,0,1,0,0,0
"39",0,1,0,0,0,0,0,0,0,0
"40",0,0,0,0,1,0,0,1,1,0
"41",1,0,0,0,0,1,0,1,1,1
"42",1,0,1,0,0,0,1,0,0,0
"43",0,0,1,0,1,1,0,0,0,0
"44",1,0,0,0,0,1,0,0,1,0
"45",0,0,1,0,0,0,0,1,0,0
"46",0,0,1,1,0,0,0,0,0,0
"47",0,0,0,0,0,0,0,1,1,0
"48",0,0,1,0,1,1,0,1,0,1
"49",0,0,0,0,0,0,0,0,0,0
"50",0,0,0,0,0,0,0,0,0,0
"51",0,0,0,0,0,1,1,1,0,0
"52",0,0,0,0,0,0,0,1,0,0
"53",0,0,0,0,0,0,0,0,0,1
"54",0,0,1,0,0,1,0,0,0,0
"55",0,0,0,0,1,0,0,0,0,0
"56",0,0,0,0,0,0,0,0,0,1
"57",0,0,0,0,0,0,0,1,0,1
"58",0,0,0,0,0,0,1,1,0,0
"59",1,1,1,0,1,0,0,0,0,0
"60",0,0,1,0,0,0,1,0,0,0
"61",0,1,0,1,0,0,1,0,0,0
"62",0,0,0,0,0,0,0,0,1,0
"63",0,0,0,0,0,0,0,0,1,1
"64",0,0,1,1,0,0,0,0,0,0
"65",0,0,0,0,0,0,0,1,0,1
"66",1,1,1,0,1,1,1,1,0,0
"67",0,0,0,0,0,0,1,0,1,0
"68",0,0,0,0,0,0,0,0,0,1
"69",1,0,0,0,0,1,0,0,1,0
"70",0,0,0,0,1,0,0,0,0,1
"71",0,1,0,1,0,0,0,0,0,1
"72",0,1,0,1,0,0,0,0,1,0
"73",0,0,0,0,1,0,0,0,0,0
"74",0,0,0,0,0,0,0,0,0,0
"75",1,0,0,1,0,0,0,0,0,0
"76",0,0,1,1,1,0,1,0,0,0
"77",0,0,0,0,0,0,1,0,0,0
"78",0,0,0,1,0,1,1,0,0,1
"79",0,0,0,0,0,1,0,1,0,1
"80",1,0,0,1,1,0,1,0,1,0
"81",0,0,0,0,0,0,1,0,0,0
"82",1,1,0,0,0,0,1,1,0,0
"83",0,0,1,0,1,0,1,0,0,0
"84",1,1,0,1,0,0,1,0,0,0
"85",0,0,1,0,0,1,0,0,0,0
"86",0,0,0,1,1,0,0,0,0,1
"87",0,0,0,0,0,0,0,0,0,0
"88",0,0,0,0,0,1,0,0,1,1
"89",0,1,0,0,1,0,0,0,0,0
"90",0,0,0,1,0,0,0,0,0,0
"91",0,0,0,0,0,0,0,1,1,0
"92",1,1,0,0,0,1,0,0,1,0
"93",0,0,0,0,0,1,0,0,1,0
"94",0,0,0,0,1,0,0,1,0,0
"95",0,1,0,0,1,0,1,0,1,0
"96",0,0,1,1,0,0,0,1,1,1
"97",0,1,1,1,1,0,1,1,1,0
"98",0,0,0,0,0,0,0,0,0,1
"99",1,0,1,1,0,0,0,1,0,0
"100",0,1,0,1,0,1,1,0,0,0
"101",1,1,0,0,0,0,0,0,0,0
"102",0,1,0,0,0,0,0,0,0,0
"103",0,0,0,0,0,0,1,0,0,1
"104",0,1,0,0,0,0,0,0,1,0
"105",0,0,0,0,0,0,0,0,0,1
"106",1,0,0,0,0,0,0,0,0,0
"107",0,0,0,0,0,1,0,0,0,0
"108",1,0,0,0,0,0,0,0,0,0
"109",0,0,1,0,0,1,0,0,0,1
"110",0,0,0,1,0,0,0,1,0,0
"111",1,0,0,0,0,1,0,1,0,1
"112",0,0,1,0,0,0,0,0,1,0
"113",1,0,0,0,0,1,0,1,0,0
"114",0,1,0,1,0,0,0,0,0,0
"115",0,1,0,0,1,0,1,0,0,0
"116",0,0,0,1,0,0,0,0,0,0
"117",0,0,0,0,0,0,1,0,0,0
"118",0,0,1,0,0,0,0,1,1,0
"119",1,1,0,0,1,0,0,0,0,0
"120",1,0,0,0,1,1,0,0,0,0
